,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
87,87,Ethiopia,"470,405",,"7,510 ",,"454,663",,"8,232",15,"3,917",63,"4,761,181","39,646","120,093,423 "
88,88,Mongolia,"469,550",+30,"2,177 ",,"313,256",,"154,117",192,"139,191",645,"4,030,048","1,194,646","3,373,425 "
89,89,Cyprus,"464,366",,993 ,,"124,370",,"339,003",60,"379,632",812,"9,477,138","7,747,817","1,223,201 "
90,90,Armenia,"422,814",,"8,622 ",,"410,535",,"3,657",,"142,207","2,900","3,029,751","1,019,011","2,973,226 "
91,91,Honduras,"422,275",,"10,892 ",,"131,100",,"280,283",105,"41,446","1,069","1,263,329","123,996","10,188,483 "
92,92,Oman,"388,995",,"4,257 ",,"384,055",,683,2,"72,838",797,"25,000,000","4,681,140","5,340,579 "
93,93,Bosnia and Herzegovina,"376,699",,"15,756 ",,"192,218",,"168,725",,"116,120","4,857","1,752,716","540,288","3,244,043 "
94,94,Réunion,"374,295",,742 ,,"355,605",,"17,948",10,"412,752",818,"1,603,660","1,768,428","906,828 "
95,95,Qatar,"364,012",,677 ,,"362,451",,884,1,"129,643",241,"3,424,878","1,219,771","2,807,805 "
96,96,Kenya,"323,688",,"5,649 ",,"317,902",,137,,"5,790",101,"3,578,739","64,014","55,905,193 "
97,97,Zambia,"318,984",,"3,974 ",,"314,075",,935,,"16,518",206,"3,408,441","176,500","19,311,313 "
98,98,North Macedonia,"309,062",,"9,271 ",,"299,064",,727,,"148,358","4,450","2,007,553","963,678","2,083,220 "
99,99,Botswana,"305,859",,"2,688 ",,"303,026",,145,1,"125,497","1,103","2,026,898","831,658","2,437,178 "
100,100,Albania,"274,737",,"3,496 ",,"270,852",,389,2,"95,656","1,217","1,798,288","626,116","2,872,134 "
101,101,Algeria,"265,761",,"6,874 ",,"178,343",,"80,544",6,"5,870",152,"230,861","5,099","45,277,859 "
102,102,Nigeria,"255,685",,"3,143 ",,"249,890",,"2,652",11,"1,187",15,"5,036,813","23,390","215,343,385 "
103,103,Zimbabwe,"247,488",,"5,468 ",,"241,328",,692,12,"16,226",358,"2,239,257","146,809","15,252,838 "
104,104,Uzbekistan,"238,418",,"1,637 ",,"236,423",,358,23,"6,942",48,"1,377,915","40,122","34,343,347 "
105,105,Montenegro,"234,549",,"2,711 ",,"231,209",,629,6,"373,361","4,315","2,443,950","3,890,345","628,209 "
106,106,Luxembourg,"233,966",,"1,058 ",,"221,501",,"11,407",1,"363,115","1,642","4,213,886","6,539,950","644,330 "
107,107,Mozambique,"225,352",,"2,201 ",,"223,104",,47,13,"6,864",67,"1,308,458","39,852","32,832,686 "
108,108,Laos,"204,274",,730 ,,"7,660",,"195,884",,"27,361",98,"1,232,128","165,036","7,465,821 "
109,109,Kyrgyzstan,"200,983",,"2,991 ",,"196,376",+5,"1,616",131,"29,916",445,"1,907,195","283,886","6,718,162 "
110,110,Iceland,"183,974",,112 ,,"75,685",,"108,177",1,"532,895",324,"1,953,616","5,658,801","345,235 "
111,111,Maldives,"178,883",,298 ,,"163,687",,"14,898",25,"320,752",534,"2,213,831","3,969,580","557,699 "
112,112,Afghanistan,"178,638",,"7,680 ",,"161,683",,"9,275","1,124","4,410",190,"939,371","23,190","40,507,809 "
113,113,Uganda,"164,069",,"3,596 ",,"100,205",,"60,268",2,"3,394",74,"2,612,795","54,047","48,342,573 "
114,114,El Salvador,"162,089",,"4,127 ",,"150,662",,"7,300",8,"24,765",631,"1,950,448","297,997","6,545,195 "
115,115,Ghana,"161,124",,"1,445 ",,"159,655",,24,1,"4,997",45,"2,433,244","75,469","32,241,551 "
116,116,Namibia,"158,280",,"4,023 ",,"153,662",,595,,"60,324","1,533","1,000,123","381,171","2,623,820 "
117,117,Martinique,"147,519",,918 ,,104,,"146,497",8,"393,656","2,450","828,928","2,212,002","374,741 "
118,118,Trinidad and Tobago,"143,884",,"3,811 ",,"133,368",,"6,705",18,"102,215","2,707","695,006","493,733","1,407,656 "
119,119,Brunei ,"140,873",,218 ,,"139,523",,"1,132",2,"316,548",490,"717,784","1,612,893","445,029 "
120,120,Guadeloupe,"140,130",,854 ,,"2,250",,"137,026",19,"350,109","2,134","938,039","2,343,650","400,247 "
121,121,Cambodia,"136,172",,"3,056 ",,"132,880",,236,,"7,947",178,"2,946,965","171,976","17,135,956 "
122,122,Rwanda,"129,764",,"1,458 ",,"45,522",,"82,784",,"9,590",108,"5,225,494","386,198","13,530,598 "
123,123,Jamaica,"129,441",,"2,941 ",,"82,875",,"43,625",,"43,372",985,"978,700","327,932","2,984,463 "
124,124,Cameroon,"119,780",,"1,927 ",,"117,791",,62,13,"4,319",69,"1,751,774","63,158","27,736,213 "
125,125,Angola,"99,194",,"1,900 ",,"97,149",,145,,"2,858",55,"1,499,795","43,212","34,707,535 "
126,126,Malta,"90,168",,684 ,,"83,521",,"5,963",4,"203,236","1,542","1,868,587","4,211,736","443,662 "
127,127,DRC,"87,023",,"1,337 ",,"50,930",,"34,756",,921,14,"846,704","8,963","94,465,331 "
128,128,Senegal,"85,982",,"1,965 ",,"83,999",,18,1,"4,902",112,"1,062,683","60,591","17,538,735 "
129,129,Malawi,"85,743",,"2,633 ",,"81,934",,"1,176",67,"4,283",132,"571,029","28,522","20,020,400 "
130,130,Ivory Coast,"81,881",,799 ,,"81,057",,25,,"2,972",29,"1,493,433","54,198","27,554,965 "
131,131,French Guiana,"80,422",,394 ,,"11,254",,"68,774",1,"257,246","1,260","622,646","1,991,658","312,627 "
132,132,Suriname,"79,302",,"1,327 ",,"49,396",,"28,579",,"133,033","2,226","235,824","395,607","596,106 "
133,133,Channel Islands,"73,609",,166 ,,"72,059",,"1,384",,"416,456",939,"1,252,808","7,087,983","176,751 "
134,134,French Polynesia,"72,648",,648 ,,N/A,N/A,N/A,7,"255,952","2,283",,,"283,835 "
135,135,Eswatini,"70,253",,"1,396 ",,"68,730",,127,11,"59,445","1,181","1,012,076","856,375","1,181,814 "
136,136,Barbados,"66,810",,388 ,,"63,424",,"2,998",,"231,972","1,347","638,650","2,217,465","288,009 "
137,137,Fiji,"64,524",,862 ,,"62,677",,985,,"71,050",949,"506,642","557,882","908,153 "
138,138,Madagascar,"64,121",,"1,391 ",,"59,370",,"3,360",14,"2,213",48,"418,849","14,456","28,973,361 "
139,139,Guyana,"63,407",,"1,228 ",,"62,088",,91,1,"79,919","1,548","589,800","743,389","793,393 "
140,140,Sudan,"62,093",,"4,930 ",,N/A,N/A,N/A,,"1,359",108,"562,941","12,320","45,693,675 "
141,141,New Caledonia,"60,457",,312 ,,"60,064",,81,9,"208,153","1,074","98,964","340,732","290,445 "
142,142,Mauritania,"58,683",,982 ,,"57,693",,8,,"12,050",202,"798,518","163,973","4,869,809 "
143,143,Belize,"57,419",,676 ,,"56,534",,209,6,"139,830","1,646","534,770","1,302,300","410,635 "
144,144,Bhutan,"56,603",,20 ,,"52,079",,"4,504",4,"71,930",25,"2,275,084","2,891,121","786,921 "
145,145,Cabo Verde,"56,001",,401 ,,"55,537",,63,23,"98,790",707,"400,982","707,360","566,871 "
146,146,Syria,"55,792",,"3,150 ",,"52,078",,564,,"3,054",172,"146,269","8,007","18,266,514 "
147,147,Gabon,"47,594",,303 ,,"47,280",,11,,"20,512",131,"1,591,228","685,772","2,320,346 "
148,148,Taiwan,"47,100",,856 ,,"23,176",,"23,068",,"1,971",36,"14,133,126","591,481","23,894,472 "
149,149,Papua New Guinea,"43,732",,649 ,,"43,025",,58,7,"4,727",70,"249,149","26,928","9,252,402 "
150,150,Seychelles,"42,079",,165 ,,"41,260",,654,,"423,143","1,659",,,"99,444 "
151,151,Curaçao,"41,652",,271 ,,"40,800",,581,3,"251,974","1,639","494,095","2,989,026","165,303 "
152,152,Andorra,"41,013",,153 ,,"40,343",,517,14,"529,282","1,974","249,838","3,224,215","77,488 "
153,153,Burundi,"38,853",,38 ,,773,,"38,042",,"3,101",3,"345,742","27,596","12,528,619 "
154,154,Mauritius,"37,656",,990 ,,"35,656",,"1,010",,"29,521",776,"358,675","281,188","1,275,572 "
155,155,Mayotte,"37,038",,187 ,,"2,964",,"33,887",,"130,107",657,"176,919","621,481","284,673 "
156,156,Togo,"36,973",,273 ,,"36,679",,21,,"4,285",32,"727,399","84,304","8,628,272 "
157,157,Guinea,"36,459",,440 ,,"35,976",,43,8,"2,647",32,"660,107","47,923","13,774,441 "
158,158,Faeroe Islands,"34,658",,28 ,,"7,693",,"26,937",5,"704,460",569,"778,000","15,813,651","49,198 "
159,159,Aruba,"34,589",,212 ,,"34,251",,126,2,"321,510","1,971","177,885","1,653,468","107,583 "
160,160,Tanzania,"33,864",,803 ,,N/A,N/A,N/A,7,539,13,,,"62,798,776 "
161,161,Bahamas,"33,446",,789 ,,"32,305",,352,11,"83,612","1,972","229,817","574,520","400,016 "
162,162,Lesotho,"32,910",,697 ,,"24,155",,"8,058",,"15,146",321,"431,221","198,458","2,172,858 "
163,163,Mali,"30,716",,731 ,,"29,794",,191,,"1,442",34,"662,996","31,125","21,301,409 "
164,164,Haiti,"30,640",,835 ,,"29,389",,416,,"2,629",72,"132,422","11,364","11,653,047 "
165,165,Isle of Man,"28,416",,87 ,,"26,794",,"1,535",,"331,019","1,013","150,753","1,756,127","85,844 "
166,166,Benin,"26,952",,163 ,,"25,506",,"1,283",5,"2,123",13,"604,310","47,601","12,695,189 "
167,167,Somalia,"26,485",,"1,350 ",,"13,182",,"11,953",,"1,587",81,"400,466","23,992","16,691,888 "
168,168,Congo,"24,079",,385 ,,"20,178",,"3,516",,"4,178",67,"347,815","60,356","5,762,761 "
169,169,Saint Lucia,"23,201",,368 ,,"22,721",,112,1,"125,316","1,988","142,501","769,693","185,140 "
170,170,Timor-Leste,"22,860",,130 ,,"22,714",,16,,"16,763",95,"261,007","191,397","1,363,692 "
171,171,Cayman Islands,"21,755",,26 ,,"8,553",,"13,176",1,"324,155",387,"222,773","3,319,372","67,113 "
172,172,Burkina Faso,"20,853",,382 ,,"20,439",,32,,951,17,"248,995","11,351","21,935,714 "
173,173,Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,"2,733",33,,,"6,766,602 "
174,174,Gibraltar,"17,706",,101 ,,"16,579",,"1,026",,"525,822","2,999","534,283","15,866,807","33,673 "
175,175,South Sudan,"17,422",,138 ,,"13,514",,"3,770",1,"1,524",12,"376,391","32,929","11,430,250 "
176,177,Liechtenstein,"17,064",,84 ,,"16,751",,229,2,"445,245","2,192","102,174","2,665,988","38,325 "
177,178,San Marino,"16,140",,114 ,,"15,662",,364,4,"473,870","3,347","149,271","4,382,590","34,060 "
178,179,Equatorial Guinea,"15,907",,183 ,,"15,698",,26,5,"10,705",123,"310,972","209,269","1,485,993 "
179,180,Djibouti,"15,611",,189 ,,"15,411",,11,,"15,397",186,"303,924","299,760","1,013,892 "
180,181,CAR,"14,649",,113 ,,"6,859",,"7,677",2,"2,941",23,"81,294","16,321","4,981,083 "
181,182,Grenada,"14,332",,220 ,,"13,872",,240,4,"126,314","1,939","147,982","1,304,231","113,463 "
182,183,Bermuda,"13,143",,131 ,,"12,719",,293,,"212,453","2,118","866,313","14,003,734","61,863 "
183,184,Solomon Islands,"12,437",,139 ,,"11,194",,"1,104",2,"17,340",194,"5,117","7,134","717,228 "
184,185,Dominica,"12,011",,63 ,,"11,926",,22,,"166,109",871,"187,690","2,595,702","72,308 "
185,186,Gambia,"11,995",,365 ,,"11,591",,39,,"4,724",144,"155,686","61,319","2,538,957 "
186,187,Greenland,"11,971",,21 ,,"2,761",,"9,189",4,"210,209",369,"164,926","2,896,081","56,948 "
187,188,Yemen,"11,818",,"2,148 ",,"9,001",,669,23,381,69,"265,253","8,554","31,009,438 "
188,189,Monaco,"11,577",,54 ,,"11,328",,195,4,"291,297","1,359","54,960","1,382,885","39,743 "
189,190,Saint Martin,"10,279",,63 ,,"1,399",,"8,817",7,"257,916","1,581","112,382","2,819,842","39,854 "
190,191,Sint Maarten,"9,981",,86 ,,"9,836",,59,10,"228,122","1,966","62,056","1,418,326","43,753 "
191,192,Eritrea,"9,733",,103 ,,"9,629",,1,,"2,678",28,"23,693","6,518","3,634,877 "
192,193,Caribbean Netherlands,"9,592",,34 ,,"9,392",,166,,"359,763","1,275","30,126","1,129,923","26,662 "
193,194,Tonga,"9,553",,11 ,,"8,306",,"1,236",,"88,573",102,"408,213","3,784,867","107,854 "
194,195,Niger,"8,908",,309 ,,"8,498",,101,1,345,12,"248,217","9,627","25,784,480 "
195,196,Guinea-Bissau,"8,185",,171 ,,"7,476",,538,6,"3,989",83,"132,611","64,632","2,051,795 "
196,197,Comoros,"8,100",,160 ,,"7,933",,7,,"8,970",177,,,"902,975 "
197,198,Sierra Leone,"7,681",,125 ,,N/A,N/A,N/A,,929,15,"259,958","31,437","8,269,259 "
198,199,Antigua and Barbuda,"7,571",,135 ,,"7,402",,34,1,"76,175","1,358","18,901","190,170","99,390 "
199,200,Liberia,"7,432",,294 ,,"5,747",,"1,391",2,"1,410",56,"139,824","26,523","5,271,834 "
200,201,Chad,"7,396",,193 ,,"4,874",,"2,329",,428,11,"191,341","11,076","17,274,814 "
