,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
172,172,Burkina Faso,"20,853",,382  ,,"20,439",,32,,951,17
173,173,Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,"2,733",33
174,174,Gibraltar,"17,706",,101 ,,"16,579",,"1,026",,"525,822","2,999"
175,175,South Sudan,"17,420",,138 ,,"13,514",,"3,768",1,"1,524",12
176,177,Liechtenstein,"17,049",,84 ,,"16,724",,241,3,"444,853","2,192"
177,178,San Marino,"16,140",,114 ,,"15,662",,364,4,"473,884","3,347"
178,179,Equatorial Guinea,"15,907",,183 ,,"15,698",,26,5,"10,706",123
179,180,Djibouti,"15,611",,189 ,,"15,411",,11,,"15,398",186
180,181,CAR,"14,649",,113 ,,"6,859",,"7,677",2,"2,941",23
181,182,Grenada,"14,332",,220 ,,"13,872",,240,4,"126,317","1,939"
182,183,Bermuda,"13,143",,131 ,,"12,719",,293,,"212,450","2,118"
183,184,Solomon Islands,"12,437",,139 ,,"11,194",,"1,104",2,"17,341",194
184,185,Dominica,"12,011",,63 ,,"11,926",,22,,"166,109",871
185,186,Gambia,"11,995",,365 ,,"11,591",,39,,"4,725",144
186,187,Greenland,"11,971",,21 ,,"2,761",,"9,189",4,"210,213",369
187,188,Yemen,"11,818",,"2,148 ",,"9,001",,669,23,381,69
188,189,Monaco,"11,545",,54 ,,"11,279",,212,4,"290,491","1,359"
189,190,Saint Martin,"10,279",,63 ,,"1,399",,"8,817",7,"257,929","1,581"
190,191,Sint Maarten,"9,981",,86 ,,"9,836",,59,10,"228,127","1,966"
191,192,Eritrea,"9,733",,103 ,,"9,629",,1,,"2,678",28
192,193,Caribbean Netherlands,"9,577",,34 ,,"9,383",,160,,"359,200","1,275"
193,194,Tonga,"9,468",,11 ,,"7,945",,"1,512",,"87,788",102
